AdventurerName,AdventurerClass,AdventurerTitle,Dialog
"""베르칸""","""학자""","""황무지를 걷는 자""","""!!오랜만이야.|이 의뢰는 내가 처리해보고 싶어.|가능할까?"""
"""엘피스""","""점성술사""","""유물의 감시자""","""!!또 왔어.|맘에 드는 퀘스트라서 가져왔어.|수락해줄래?"""
"""나이렌""","""현자""","""거친 숨결의 자손""","""!!안녕하세요.|이 퀘스트, 내가 하면 좋을 것 같아서.허락해주면 고맙겠어."""
"""크세나""","""성직자""","""모래 위의 전사""","""!!반가워.|맡아보고 싶은 게 있어서 왔어.|검토 좀 해줄래?"""
"""몰티안""","""드루이드""","""경계 너머의 방랑자""","""!!안녕하십니까...는 아니고 안녕.|이 의뢰가 좀 끌리더라고.|수주 가능할까?"""
"""드레이크""",,"""잊힌 언어의 수호자""","""!!여기 오면 마음이 편해.|맡고 싶은 퀘스트 하나 있어.|괜찮다면 받아줄래?"""
"""이셀라""",,"""조율자""","""!!편안해 보여서 다행이야.|이거, 내가 맡으면 괜찮을 것 같아.|허가해줄 수 있어?"""
"""칼로넬""",,"""운명의 관찰자""","""!!오늘 기분 좋아 보여.|의뢰서를 가져와봤어.|한 번만 봐줄래?"""
"""제르피아""",,"""언제나 미소 짓는 자""","""!!좋은 하루야.|딱 내가 찾던 퀘스트라서 말이야.|부탁해도 될까?"""
"""루시엔""",,"""혼잣말을 즐기는 자""","""!!또 들렀어.|수행해보고 싶은 퀘스트야.|검토 부탁할게."""
"""카일라""",,"""아무것도 믿지 않는 자""","""!!오늘도 고생 많았어.|이 퀘스트, 내 스타일인 것 같아서.|수락 가능할까?"""
"""오르딘""",,"""책 속에 사는 자""","""!!여기 분위기 좋네.|괜찮은 퀘스트가 있어서 가져왔어.|봐줄 수 있지?"""
"브라문""",,"""말보다 칼이 빠른 자""","""!!이런 날엔 뭔가 해내고 싶어져.|그래서 퀘스트 하나 들고 왔어.|검토해줄래?"""
"""티엘라""",,"""계획은 싫어하는 자""","""!!좀 늦었지?|맡고 싶은 퀘스트가 생겨서 왔어.|수주 가능하면 좋겠어."""
"""살리안""",,"""고요함을 사랑하는 자""","""!!조금 고민하다 왔어.|그래도 이게 지금은 맞는 것 같아서.|한 번만 봐줘."""
"""노아린""",,"""속내를 알 수 없는 자""","""!!오늘 기분 좋아서 그런가.|도전해보고 싶은 게 생겼어.|가능할까?"""
"""에르시아""",,"""늘 의심하는 자""","""!!잠깐 시간 괜찮아?|퀘스트 하나 맡고 싶어서 말이지.|봐줄 수 있을까?"""
"""펜릴드""",,"""언제나 배고픈 자""","""!!일단 인사부터.|이 의뢰, 내 손에 맞을 것 같아서.|한 번 확인 부탁할게."""
"""자이론""",,"""잠이 많은 자""","""!!여기 또 와버렸네?|이번엔 진짜 재미있어 보이는 퀘스트야.|슬쩍 맡아봐도 되지?"""
"""루메스""",,"""눈빛이 예리한 자""","""!!나 안 보고 싶었지?|근데도 퀘스트 들고 왔지 뭐야.|봐줄 거지?"""
"""칼바린""",,"""사람을 끌어당기는 자""","""!!오오~ 오늘도 바쁘신가?|그래도 이거 한 번 봐봐.|괜찮으면 나한테 줘!"""
"""아리엘로""",,"""혼돈을 즐기는 자""","""!!딱 봐도 내가 잘할 것 같은 퀘스트 발견.|그래서 들고 왔지.|수락~ 해줘라."""
"""실루엔""",,"""질문이 많은 자""","""!!안녕.|맡고 싶은 퀘스트가 있어서 왔어.|수락해줄 수 있을까?"""
"""세라핀""",,"""불편함을 감지하는 자""","""!!내가 또 뭘 가져왔게?|이번엔 꽤 괜찮은 퀘스트라니까?|받아줄 거잖아?"""
"""나르엔""",,"""침묵이 무기인 자""","""!!이 정도면 나 단골이지?|그래서 또 퀘스트 들고 왔지.|봐줘, 응?!!딴 데선 이런 거 안 해주더라."""
"""오스칸""",,"""귀찮음을 이기는 자""","""!!딴 데선 이런 거 안 해주더라.|그래서 믿고 가져왔어.|수주 가능?"""
"""린에타""",,"""완벽을 추구하는 자""","""!!안녕하세요.|이 퀘스트, 내가 하면 좋을 것 같아서.|허락해주면 고맙겠어."""
"""자렐란""",,"""모든 걸 기록하는 자""","""!!이번엔 꽤 쏠쏠해 보여.|내가 직접 해보고 싶어졌지 뭐야.|괜찮으면 줘!"""
"""무르다스""",,"""언제나 길을 잃는 자""",
"""알리엔""",,"""혼자 있는 걸 좋아하는 자""",
"""벨가르트""",,"""싸움을 피하지 않는 자""",
"""키세란""",,"""우연히 살아남은 자""",
"""페일라""",,"""자연과 동화된 자""",
"""레오닌""",,"""언제나 정중한 자""",
"""나리안""",,"""불평 없는 자""",
"""다르엔""",,"""남을 먼저 생각하는 자""",
"""루세피아""",,"""비웃음을 잊은 자""",
"""헤이렐""",,"""약속을 지키는 자""",
"""엘두라""",,,
"""파르셀""",,,
"""에빈""",,,
"""크리모르""",,,
"""모르칸""",,,
"""라니센""",,,
"""지오렌""",,,
"""발리안""",,,
"""에스트라""",,,
"""칼레나""",,,
"""티라엘""",,,
"""울마르""",,,
"""피라닐""",,,
"""셀로마""",,,
"""자리나""",,,
"""코르딘""",,,
"""아스펜""",,,
"""네리안""",,,
"""멜키르""",,,
"""에일리드""",,,
"""루사엘""",,,
"""트라빈""",,,
"""덴마르""",,,
"""프레야""",,,
"""릴사이""",,,
"""자베르""",,,
"""오네리아""",,,
"""세란티""",,,
"""브렌티스""",,,
"""칼르엔""",,,
"""엘론드""",,,
"""바스켈""",,,
"""레사리""",,,
"""미카엔""",,,
"""드렐란""",,,
"""타이리안""",,,
"""제스카""",,,
"""실렌드""",,,
"""칼두엔""",,,
"""바레나""",,,
"""페이린""",,,
"""리델로""",,,
"""소르킨""",,,
"""루에린""",,,
"""자피엘""",,,
"""세일라""",,,
