QuestName,QuestDescription,QuestTier,STRWeight,MAGWeight,INSWeight,DEXWeight,PowerForClear,FameReward,GoldReward,FamePenalty,GoldPenalty,StateAfterFail,Days,IsQuesting,QuestHint
"""[엘더윈 수도국] - 마법대학 도서관 책 정리""","""엘더윈 수도국 마법대학 도서관의 연구용 고서들을 분류하고 제자리에 놓는 임무이다.""",4,1,1.2,1.2,1,3600,550,520,160,150,0,1,0,"""마법서적에 대한 이해력이 도움이 될 것이다."""
"""[엘더윈 수도국] - 고양이 구조 작업""","""세계수 위에 올라간 귀족의 고양이를 구조하자.""",4,1,1,1,1.3,4200,610,650,180,190,0,1,0,
"""[엘더윈 수도국] - 도시 상수도 점검""","""상수도 기술자를 도와 상수도 노선 점검을 진행하자.""",4,1,1,1.2,1.1,4500,1360,1400,360,410,0,2,0,
"""[엘더윈 수도국] - 잡초 정리 아르바이트""","""텃밭 주변의 잡초 제거 및 토양을 정리하자.""",4,1.1,1,1,1.1,4850,720,720,180,180,0,1,0,
"""[엘더윈 수도국] - 도서 반납 대행 서비스""","""미처 책을 반납하지 못한 가정에 방문하여 반납 도서들을 수거하자.""",4,0.9,1.1,1,1.4,5100,1500,1400,600,560,0,2,0,"""빠름이 곧 생명이다."""
"""[루미엘 숲] - 허브 채집 입무""","""치유 허브를 수확하여 수도원에 공급하라.""",4,1,1.2,1.3,1,700,110,120,30,30,0,1,0,"""자연과 조화를 이루는 감각이 요구된다."""
"""[루미엘 숲] - 고양이 구조 작전""","""나무 꼭대기에 올라간 영물 고양이 구조""",4,1,1.1,1.2,1.3,1550,180,190,40,35,0,1,0,"""균형감각이 요구된다."""
"""[루미엘 숲] - 숲 속의 외래 식물 제거""","""생태계를 해치는 외래종 식물 제거 작업이다.""",4,1.1,1,1.3,1,1600,400,400,30,30,0,2,0,"""세심한 관찰력이 유리할 것이다."""
"""[루미엘 숲] - 정령의 씨앗 심기""","""신성한 정령의 씨앗을 올바른 위치에 심어보자.""",4,1,1.3,1.2,1,2100,290,320,75,85,0,1,0,"""자연과의 교감이 중요하다."""
"""[루미엘 숲] - 숲길 안내자 의뢰""","""길 잃은 연금술사에게 안전한 길을 안내해야 한다.""",4,1,1.2,1.3,1.1,2800,420,450,120,130,0,1,0,"""침착함과 방향 감각이 요구된다."""
"""[루미엘 숲] - 유치원 정령놀이 도우미""","""유치원의 어린 엘프들의 정령놀이를 도와주자.""",4,1,1.2,1.3,1,3500,1020,1100,260,300,0,2,0,"""아이들과 정령에 대한 이해가 필요하다"""
"""[루미엘 숲] - 정령석 표면 정화 작업""","""오염된 정령석의 표면을 정화해야 하는 임무이다.""",4,1,1.2,1.2,1.1,4200,660,690,180,170,0,1,0,"""정령의 기운을 해치지 않도록 주의하라."""
"""[루미엘 숲] - 작은 연못 정화 활동""","""숲 외곽의 오염된 작은 연못을 정화하자.""",4,1,1.5,1.1,1,4900,750,710,190,180,0,1,0,"""높은 마력이 요구된다."""
"""[루미엘 숲] - 정령의 성역 정화 의식 보조""","""오염된 성역에서 정령사들이 치르는 정화 의식을 보조하자.""",4,1,1.3,1.3,1.1,1300,400,360,110,80,0,2,0,"""영적 기류에 민감한 자에게 유리하다."""
"""[제르딘 수도원] - 수도원 의약품 운반""","""수도원의 치료약을 병자촌까지 안전하게 전달하라.""",4,1,1.1,1.2,1.1,800,140,120,30,25,0,1,0,"""무거운 짐보다 책임감이 더 무겁다"""
"""[제르딘 수도원] - 명상 지원 안내인""","""수도원에 방문한 사람들에게 명상 구역을 안내하자.""",4,1,1.1,1.3,1,1250,360,390,65,70,0,2,0,"""친절, 항상 친절이다."""
"""[제르딘 수도원] - 수도원 정원 가꾸기""","""명상 공간으로 사용되는 정원의 잡초들을 제거하고 정원을 가꾸자.""",4,1,1.1,1.1,1,1750,250,250,70,70,0,1,0,
"""[제르딘 수도원] - 성가대 악보 필사""","""손상된 고대 악보를 새로 필사해야 한다.""",4,1,1,1.3,1.1,2025,560,640,120,170,0,2,0,"""빠르고 섬세한 손놀림과 통이 필요하다."""
"""[제르딘 수도원] - 불량 표지판 교체 작업""","""낡은 도로 표지판을 새 것으로 교체해야 한다.""",4,1.2,1,1.1,1,2650,680,700,160,180,0,2,0,"""섬세한 손놀림과 집중력이 필요하다."""
"""[제르딘 수도원] - 수도원 종 보수 작업""","""낡은 종탑의 종을 정비하고 종을 고정하는 밧줄을 교체하는 작업이다.""",4,1.3,1,1.1,1.2,3450,530,520,140,45,0,1,0,"""균형감각과 체력, 세심함이 모두 요구된다."""
"""[제르딘 수도원] - 신성문서 복원 의뢰""","""훼손된 고대 경전의 복원을 보조하는 민감한 작업이다.""",4,1,1.1,1.3,1.3,4250,590,640,140,150,0,1,0,"""정밀한 작업 능력과 오래된 지식에 대한 이해가 필요하다."""
"""[제르딘 수도원] - 묵언 수도자 호위""","""묵언 수행 중인 수도자의 야간 이동을 경호하는 임무이다.""",4,1,1.2,1.4,1.2,5050,750,780,170,185,0,1,0,"""정밀한 시야와 수상한 곳을 예측하는 능력이 요구된다."""
"""[검은 심연 협곡] - 불안한 꿈의 해석""","""마을 주민들의 반복되는 악몽의 원인을 조사하자.""",3,0.9,1.3,1.4,1,5900,1400,1500,420,450,0,2,0,"""환영과 상징을 해석하는 통찰력이 필요하다."""
"""[검은 심연 협곡] - 고대 마력 균열 진압""","""봉인된 금단 마법 균열에서 마력 역류 현상 발생하고 있다. 이 균열을 막아야 한다.""",3,0.9,1.4,1.2,0.8,8700,1300,1300,390,390,0,2,0,"""강력한 마법 저항이 요구된다."""
"""[검은 심연 협곡] - 심연 균열 에너지 차단 임무""","""고대 금단 마법의 잔재가 퍼지는 것을 차단하자.""",3,0.7,1.4,1.3,0.8,8200,1200,1250,360,380,0,2,0,"""마법 전문 인력에게 추천한다."""
"""[브루나 항구도시] - 폐광 내 광석 회수 작업""","""무너진 광산에서 금속을 회수하자.""",3,1.3,1,1.1,1.1,4950,1400,1500,420,450,0,2,0,"""강인함과 정확한 손놀림이 요구된다."""
"""[브루나 항구도시] - 해조류 운반 임무""","""빠르게 부패하는 귀한 해조류를 상인에게 최대한 빨리 가져다주자.""",3,1.1,1,1.1,1.3,4750,1000,1100,300,330,0,1,0,"""속도와 민첩성이 중요하다"""
"""[브루나 항구도시] - 화물선 정박 보조""","""무거운 화물을 적재하며 도킹을 돕는 작업이다.""",3,1.4,0.9,1,1.1,5300,1300,1400,390,420,0,2,0,
"""[브루나 항구도시] - 노마리안 유물 회수 요청""","""수몰 유적에서 고대 유물을 회수하는 의뢰이다.""",3,1.2,1,1.3,1.1,5700,1350,1450,400,430,0,2,0,"""물속에서의 감각과 판단력이 필요하다."""
"""[브루나 항구도시] - 마력 괴수 잔류 에너지 정화""","""퇴치된 괴수의 마력 흔적이 항구를 불안하게 하고 있다. 남아있는 잔류 에너지를 정화하는 임무이다.""",3,1,1.4,1.3,1.1,5900,1400,1450,420,430,0,2,0,"""마력 흐름을 정화할 수 있는 능력이 필요하다."""
"""[브루나 항구도시] - 항구 밀수 감시 지원""","""밀수꾼 활동 증가로 인한 감시 인력 충원이 시급하다.""",3,1.1,1,1.3,1.3,6700,1150,1200,345,360,0,1,0,
"""[브루나 항구도시] - 항만 세관 물류 검열 작업""","""밀반입 물품 단속을 위한 세관 검열 인력을 도와주자.""",3,1.2,1,1.4,1.1,6800,1200,1200,360,360,0,1,0,"""직관과 신속정확한 판단이 중요시된다."""
"""[브루나 항구도시] - 항만 창고 화재 진압 훈련""","""최근 발생하는 연쇄 화재 사건에 대비한 긴급 진압 훈련을 지원하자.""",3,1.4,0.6,1.1,1,7900,1300,1250,390,375,0,2,0,"""팀워크와 긴급 상황 대응력이 관건이다."""
"""[브루나 항구도시] - 항만 수로 밀수 경로 차단""","""밀수꾼들이 사용하는 비밀 경로를 찾아내어 없애버리자.""",3,1.3,0.9,1,1.3,6000,950,950,285,285,0,1,0,"""수중 활동 장비와 빠른 전투력 필요하다."""
"""[브루나 항구도시] - 항구 물류 마차 호위 요청""","""귀중품을 실은 마차를 다른 도시로 안전하게 호위하자.""",3,1.3,0.8,0.9,1.4,7100,1100,1100,360,360,0,1,0,
"""[데스하임 늪지] - 늪지대 유령 생물 퇴치""","""밤마다 나타나는 정체불명의 유령 생물을 퇴치하자.""",3,0.8,1.4,1.1,0.9,8500,1050,1300,320,390,0,2,0,"""정신 저항력과 마법 감응력이 중요하다."""
"""[데스하임 늪지] - 늪지 보급선 실종자 수색""","""늪지대에서 실종된 보급선 병력들을 수색하고 구조하자.""",3,1.2,1.1,1.3,1.2,8000,1000,1250,300,375,0,2,0,"""방향 감각과 수색 능력이 요구된다."""
"""[엘더윈 수도국] - 연금술 재료 배달""","""예민한 마법 재료를 정확한 시간 안에 배달하자.""",3,1,1.3,1.2,1,5100,1200,1250,360,375,0,2,0,"""마법물품에 대한 이해가 있으면 좋다."""
"""[엘더윈 수도국] - 고성 수리 보조""","""낡은 성의 외벽을 수리하는 고된 작업이다.""",3,1.4,9,1,1,5200,1300,1350,390,400,0,2,0,"""강한 체력과 간단한 구조의 이해가 필요하다."""
"""[엘더윈 수도국] - 남부 초원 방목 도우미""","""방목 중인 가축을 보호하며 관리하자.""",3,1.2,1,1.1,1.1,4800,1050,1100,310,320,0,1,0,"""성실함과 관찰력이 필요하다."""
"""[엘더윈 수도국] - 연금술 쓰레기 처리""","""실패한 연금술 실험 부산물의 처리를 하는 위험한 작업이다.""",3,1.1,1.3,1.2,1,5000,1150,1200,340,360,0,1,0,"""반응 물질을 조심해야 한다."""
"""[엘더윈 수도국] - 도심 방역 지원 요청""","""전염병 예방을 위한 방역 활동에 인력이 부족하다. 이를 지원하자.""",3,1,1.2,1.3,1.1,6800,1000,1050,300,315,0,1,0,
"""[엘더윈 수도국] - 도난 마법서 회수 작전""","""도난당한 희귀 마법서를 되찾는 임무이다.""",3,1,1.4,1.3,1.2,6100,1300,1300,390,390,0,2,0,"""마법 감식 능력과 기민한 대응력 필요하다."""
"""[엘더윈 수도국] - 무기고 보안 강화 테스트""","""새로운 보안 시스템 테스트에 협조해줄 인력이 필요하다.""",3,0.8,0.6,1.4,1.3,7600,1100,1050,390,390,0,2,0,"""분석력과 신속한 판단이 중요하다."""
"""[엘더윈 수도국] - 고서 복원 및 마력 분석""","""낡은 고서를 복원하고 마법적 잔흔을 분석하는 작업이다.""",3,0.8,1.3,1.4,0.5,8400,1300,1100,390,330,0,2,0,"""분석력과 신속한 판단이 중요하다."""
"""[엘더윈 수도국] - 불량 마력 수정 회수""","""불안정한 마력 수정이 시중에 유통되고 있어 회수 조치가 필요해보인다.""",3,1,1.3,1.4,1.1,6600,950,1000,300,300,0,2,0,"""마력 감식 능력이 중요하다."""
"""[엘더윈 수도국] - 시가지 배수구 생물 정화 임무""","""하수구 내 기생 생물체들이 수질 오염을 일으켜 정화가 필요하다.""",3,1.3,1,0.8,1,7200,1120,1080,360,310,0,1,0,"""강한 체력이 필요하다."""
"""[카라노스 분화대] - 용암 이글 정찰 및 생태 보고""","""용암 지대에서 목격된 거대 조류에 대한 보고가 필요하다.""",3,0.9,1,1.3,1.3,6800,1100,1100,330,330,0,2,0,
"""[루미엘 숲] - 기묘한 괴조 추적""","""숲에서 정체불명의 새가 출몰하여 불안 조성하고 있다. 새를 추적하자.""",3,1.1,1.1,1.3,1.2,5600,1250,1300,375,400,0,2,0,"""민첩성과 관찰력이 요구된다."""
"""[루미엘 숲] - 숲속 정령 불안 진정""","""불안정한 정령들이 마을 근처에 출몰하여 평화 회복을 요청했다.""",3,1,1.2,1.4,1.1,5050,900,850,330,345,0,1,0,"""정령과의 공감능력이 도움이 된다."""
"""[루미엘 숲] - 숲속 수로 조사 활동""","""숲속 수로에 이상 조짐이 보여 정밀 조사가 필요해보인다.""",3,0.8,1.2,1.4,0.9,6900,1250,1300,375,390,0,2,0,"""자연 감응 능력과 탐색 능력이 유리하다."""
"""[루미엘 숲] - 황혼 숲 경계 강화 임무""","""숲 외곽에서 출몰하는 야생 동물 무리에 대한 경계 강화 작업이다.""",3,1.2,1.1,1,1.3,7200,1250,1300,375,390,0,1,0,"""감각과 반응 속도가 중요하다."""
"""[루미엘 숲] - 황혼 밀렵꾼 소탕 작전""","""신성한 동물을 노리는 밀렵꾼들이 숲에 잠입해 있다. 이들을 소탕하자.""",3,1.3,0.9,0.8,1.3,7400,1250,1200,375,360,0,1,0,"""감각과 반응 속도가 중요하다."""
"""[루미엘 숲] - 숲속 연쇄 독화살 사고 조사""","""독화살로 인한 엘프 수렵대 부상 사건의 배후를 추적하라.""",3,1,1.2,1.1,1.2,6200,1000,900,300,270,0,1,0,
"""[모라스 황무지] - 황무지 야만족 매복지 해체""","""야만족들이 떠난 매복지를 제거하고 진로를 확보해야 한다.""",3,1.4,0.8,1.1,1.2,6900,1050,1050,315,315,0,1,0,
"""[제르딘 수도원] - 마법진 오류 조사""","""연속되는 마법진의 오작동 현상을 조사하라.""",3,1,1.4,1.3,1,5900,1400,1450,420,435,0,2,0,"""민첩성과 관찰력이 요구된다."""
"""[제르딘 수도원] - 수도원 구역 마력 배관 정비""","""마력이 흐르는 배관에 이상이 발생했다. 이를 정비하자.""",3,1,1.4,1.3,1,5650,1350,1450,400,450,0,2,0,"""마법기술에 대한 이해가 필요함"""
"""[제르딘 수도원] - 광신도 포교단 감시""","""위험 사상이 확산되지 않도록 감시 요청이 들어왔다. 광신도들을 철저히 감시하자.""",3,1,1.2,1.4,0.8,5500,1300,1350,390,400,0,2,0,"""설득력과 상황 판단력이 중요하다."""
"""[제르딘 수도원] - 성역 내부 구조 개편 작업""","""오래된 구조물 개편을 위한 구조를 분석하고 보조하자.""",3,1.3,1.1,1.2,1,6500,1100,1150,330,345,0,2,0,"""물리적 강인함과 구조적 이해가 필요하다."""
"""[제르딘 수도원] - 제단 방어 마법 정비 작업""","""고대 제단의 방어 마법 결계를 정비하는 작업이다.""",3,1,1.3,1.2,1.1,7000,10000,1250,300,370,0,1,0,
"""[제르딘 수도원] - 사제단 유물 감식 작업""","""오래된 유물들 중 저주받은 물품 선별 및 감식 요청이 들어왔다.""",3,0.8,1.3,1.4,0.8,8600,1300,1300,390,390,0,2,0,"""마법 감응 능력과 정밀한 통찰력 필수이다."""
"""[제르딘 수도원] - 고대 묘지 침식 조사""","""묘지 지반 침하 및 기이한 에너지 방출의 원인을 파악하자.""",3,0.7,1.3,1.2,0.8,7400,1120,1180,300,360,0,2,0,"""영적 공명에 민감한 감각이 필요하다."""
"""[검은 심연 협곡] - 심연 속 유실된 사제단의 경전 회수""","""깊은 협곡 바닥 근처에서 유실된 고대 경전을 회수해야 한다.""",2,0.7,1.4,1.1,1.2,10800,5100,4800,780,740,0,3,0,"""암흑 마력 저항과 끈기가 요구된다."""
"""[검은 심연 협곡] - 심연의 속삭임 조사 임무""","""봉인된 금단 마법의 흔적에서 들려오는 속삭임의 원인을 규명하라.""",2,0.7,1.3,1.4,0.7,11500,5250,5400,1400,1500,0,3,0,"""강인한 정신력이 요구된다."""
"""[검은 심연 협곡] - 침묵의 협곡 탐사 지원""","""마법사 탐사대의 호위가 까다로워 지원 요청이 들어왔다.""",2,1,1.2,0.8,1,9100,4050,4500,1080,1200,0,3,0,"""정신적 안정성과 팀 협력이 중요하다."""
"""[검은 심연 협곡] - 침묵의 협곡 통신기 설치 작업""","""깊은 협곡 내부에 통신 장치를 설치해야 한다.""",2,1,0.9,1.2,0.9,8200,1200,1350,480,540,0,1,0,
"""[검은 심연 협곡] - 심연 균열 차단 작전""","""협곡 깊숙한 곳에 생긴 마법 균열을 봉인해야 한다.""",2,0.9,1.3,1.1,0.7,11800,3600,5400,1440,2160,0,3,0,"""지속적인 마력 소모에 대비한 마력 회복 수단이 필요하다."""
"""[검은 심연 협곡] - 검은 협곡 경계 임무""","""점점 넓어지는 균열의 외부 경계를 조사하고 보고해야 한다.""",2,0.9,1,1.2,0.9,11100,2400,3200,960,1200,0,2,0,"""이상 현상에 대한 적응력, 침착성이 요구된다."""
"""[브루나 항구도시] - 브루나 항구 방역 작전""","""외래 해양 생물의 알이 선창에 번식 중이다. 긴급 방역이 필요하다.""",2,1.1,0.7,1.2,1.1,9500,1400,1300,560,520,0,1,0,
"""[브루나 항구도시] - 브루나 도크의 보급품 실종 사건 조사""","""해상 길드의 보급품이 정기적으로 사라지고 있다. 이를 조사하자.""",2,1.2,1,1.3,0.7,8600,2900,2800,780,680,0,2,0,
"""[브루나 항구도시] - 항구 선적 목록 위조 조사""","""최근 발생한 위조 서류 사건을 조사하라.""",2,0.7,1,1.4,0.9,8400,2400,2700,960,1080,0,2,0,"""문서 감식과 추리력이 요구된다."""
"""[브루나 항구도시] - 항구의 밀수선 추적 작전""","""항구에 정박한 밀수선을 추적하고 증거를 확보해야 한다.""",2,0.9,0.8,1.2,1.1,8700,2400,2400,960,960,0,2,0,
"""[브루나 항구도시] - 불법 연금술 실험실 조사""","""항구 지하에서 발견된 불법 연금술 작업장을 조사해야 한다.""",2,0.8,1.1,1.3,0.8,8900,2400,2100,960,800,0,2,0,"""강한 화학 물질과 환각 효과에 대한 저항이 필요하다."""
"""[브루나 항구도시] - 야간 항구 도시 밀수 단속 작전""","""야심한 밤 항구 창고에서 벌어지는 밀수 활동을 단속해야 한다.""",2,1.1,0.8,1,1.1,11400,1800,1500,720,600,0,1,0,
"""[데스하임 늪지] - 저주받은 늪지의 해골 기사 처단""","""봉인이 약해져 부활한 언데드 해골 기사를 처단하라""",2,1.5,0.6,1.2,0.9,9200,1500,1400,600,560,0,1,0,"""언데드 기사는 마력이 잘 통하지 않는다."""
"""[데스하임 늪지] - 죽음의 늪 수색 작전""","""실종된 사제팀의 흔적을 찾아야한다.""",2,1.1,0.8,1.3,0.7,9600,3600,3900,1440,1560,0,3,0,"""독성 환경에 대응할 수 있는 장비나 마법이 필요하다."""
"""[데스하임 늪지] - 불타는 늪지 생태 조사""","""최근 발생한 불꽃 정령의 출현 원인을 조사한다.""",2,1.1,1.3,0.8,0.7,9800,3600,3600,1440,1440,0,3,0,"""화염 속성 생물에 대한 지식이 필요하다."""
"""[데스하임 늪지] - 죽음의 늪 진흙괴물 제거 작전""","""습지 깊은 곳에서 나타난 진흙괴물을 처치해야 한다.""",2,1.3,1,0.9,0.8,10800,2800,3200,820,1100,0,2,0,"""무거운 체형의 적에 대한 물리 내성이 필요하다."""
"""[카라노스 분화대] - 지열 불꽃 정령의 폭주 진압""","""마력 균열로 인해 폭주하는 불꽃 정령을 진압하라.""",2,1.4,1.3,1.1,1.2,11400,3200,3400,640,680,0,2,0,"""화염 저항이 필수적이다."""
"""[카라노스 분화대] - 용암 지대 구조 작전""","""실종된 채굴팀을 수색하고 구조하는 임무이다.""",2,0.8,1,1.2,1,8100,1800,1500,900,750,0,1,0,"""고열과 유독 가스에 대비한 장비 필수적이다."""
"""[카라노스 분화대] - 분화대 용족 퇴치 작전""","""화염 용족이 거주지 인근으로 내려오기 시작했다. 이들을 퇴치하자.""",2,1.3,1,0.9,0.8,11400,5400,4800,2160,1920,0,3,0,"""강력한 화염 저항과 근접 전투 능력이 필요하다."""
"""[카라노스 분화대] - 분화대 채굴 현장 호위 의뢰""","""광맥 채굴 도중 발생하는 몬스터 습격을 막아야 한다.""",2,1.2,0.9,1,0.8,11000,1500,1800,600,720,0,1,0,"""돌발 화염 공격에 대비한 방어구가 필요하다."""
"""[카라노스 분화대] - 용암 분출 지대 긴급 정비""","""용암 대분출과 같은 긴급 상황을 대비한 마법 장치의 재정비를 수행해야 한다.""",2,0.7,1.3,1,1,10400,3600,3900,1440,1560,0,3,0,"""고온 환경에서의 정밀 작업 능력이 필요하다."""
"""[카라노스 분화대] - 카라노스 용암 핵 안정화 작업""","""불안정한 마법 장치가 용암 핵을 자극하고 있어 안정화가 시급하다.""",2,1,1.3,1.1,0.8,11600,5400,5100,2160,2040,0,3,0,"""Hint: 고열 저항과 마법 제어 능력이 모두 필요하다."""
"""[루미엘 숲] - 사라진 의술사 수색""","""숲속에서 실종된 드루이드 의술사를 수색하라.""",2,0.9,1.3,1.4,0.9,8100,2500,2700,500,540,0,2,0,"""민첩성과 관찰력이 요구된다."""
"""[루미엘 숲] - 마력 나무 이식""","""죽어가는 마력 나무를 숲 깊은 곳으로 옮기는 작업이다.""",2,0.9,1.3,1.2,1.1,8900,1300,1450,520,580,0,1,0,"""민첩성과 관찰력이 요구된다."""
"""[루미엘 숲] - 정령의 숲 균형 회복 의뢰""","""타락한 정령들로 인해 균형이 무너진 숲을 정화해야 한다.""",2,0.9,1.3,1.1,0.7,8800,2400,3600,960,1440,0,2,0,"""자연 마법 저항력과 신비 감응이 중요하다."""
"""[루미엘 숲] - 정령 계약서 위조범 체포""","""위조된 정령 계약서를 판매한 용의자를 추적하여 체포하라.""",2,0.8,1.2,1.1,0.9,8900,2400,3000,960,1200,0,2,0,"""마력 감식력과 정찰 능력이 중요하다."""
"""[루미엘 숲] - 고대 봉인석 회수 작전""","""숲 깊숙한 곳에 남겨진 봉인석을 회수해야 한다.""",2,0.8,1.3,1.2,0.7,8900,1500,1200,600,480,0,1,0,"""마력 누출에 대한 내성이 필요하다."""
"""[루미엘 숲] - 부패 정령 제압 임무""","""부패한 숲의 정령들을 정화해야 한다.""",2,1,1.3,0.8,0.9,9800,2400,2700,960,1080,0,2,0,"""마법과 물리 공격의 균형이 필요하다."""
"""[루미엘 숲] - 고대 문서 회수 임무""","""아주 오래전 오염된 루미엘 숲을 정화한 마법사의 고대 기록을 회수해야 한다.""",2,0.7,0.7,1.4,1.2,10100,2700,2400,1080,960,0,2,0,"""Hint: 고서 해석 능력과 높은 추리력이 요구된다."""
"""[모라스 황무지] - 고대 유적 구조 지원""","""붕괴 위험이 있는 고대 유적 내 탐사대를 구조해야 한다.""",2,0.8,0.8,1.3,1.3,9800,3200,3000,640,600,0,2,0,"""전투는 발생하지 않을 것이다."""
"""[모라스 황무지] - 황무지 유물 복원 경비 요청""","""고대 유물 복원 중 야만족 습격을 방어하는 임무이다.""",2,1.3,0.8,1,0.7,10300,3600,4800,1440,1920,0,3,0,
"""[모라스 황무지] - 고대 병기 해체 감시 의뢰""","""발견된 병기의 해체 과정에 대한 방해 요소를 제거하자.""",2,1.2,1.1,0.9,0.8,10300,4500,3900,1800,1560,0,3,0,
"""[모라스 황무지] - 황무지에서의 유물 수송 호위""","""복원된 고대 유물을 안전하게 도시로 수송해야 한다.""",2,1.3,0.8,0.9,1,10600,3600,4500,1440,1800,0,3,0,
"""[모라스 황무지] - 황무지 순찰 및 위협 제거""","""폐허 지역에서 활동하는 무법자 집단들을 소탕해야 한다.""",2,1.1,0.8,1,1.1,9400,3600,1400,600,480,0,1,0,"""원거리 전투 기술과 기동력이 요구된다."""
"""[모라스 황무지] - 황무지 지하 유적 조사 지원""","""붕괴 우려가 있는 유적 내부의 마법 반응을 조사해야 한다.""",2,0.8,1.3,1.1,0.8,8700,2400,2100,960,840,0,2,0,"""갑작스러운 붕괴에 대비할 민첩성과 집중력이 필요하다."""
"""[제르딘 수도원] - 사막화 진행 방지 마법의식 보조""","""사막화가 확산 중인 지역에서 자연 정령과의 의식을 보조하는 임무이다.""",2,1,1.4,1.3,1,8700,2700,2500,540,500,0,2,0,
"""[제르딘 수도원] - 신성한 묘역 청결 유지 임무""","""망자의 안식을 위한 주기적 정화 의식을 수행하는 임무이다.""",2,0.9,1.1,1.2,0.8,8600,1500,1200,720,600,0,1,0,
"""[제르딘 수도원] - 수도원 기록 보존 임무""","""낡은 고서들을 정리하고 마법을 통해 보존하는 임무이다.""",2,0.7,1.2,1.3,0.8,8800,1200,1500,480,600,0,2,0,
"""[제르딘 수도원] - 성역 수호자의 시험 통과""","""수도원의 신성 마력을 지키기 위해 시련을 통과해야 한다.""",2,0.9,1.2,1.1,0.8,10100,2700,2400,1080,960,0,2,0,"""정신 집중력과 마법 저항 능력이 중요하다."""
